,Lifetime
1923,1528382.4183561644
1924,1527956.3078082192
1925,1527530.197260274
1926,1527104.0867123287
1927,1526677.9761643836
1928,1526251.8656164384
1929,1525825.755068493
1930,1525399.644520548
1931,1524973.5339726028
1932,1524547.4234246574
1933,1524121.3128767123
1934,1523695.2023287672
1935,1523269.0917808218
1936,1522842.9812328767
1937,1522416.8706849315
1938,1521990.7601369864
1939,1521564.649589041
1940,1521138.5390410959
1941,1520712.4284931507
1942,1520286.3179452054
1943,1519860.2073972602
1944,1519434.096849315
1945,1519007.98630137
1946,1518581.8757534246
1947,1518155.7652054795
1948,1517729.6546575343
1949,1517303.544109589
1950,1516877.4335616438
1951,1517336.215719178
1952,1517794.9978767124
1953,1518253.7800342466
1954,1518712.562191781
1955,1519171.344349315
1956,1519630.1265068492
1957,1520088.9086643835
1958,1520547.6908219177
1959,1521006.472979452
1960,1521465.2551369863
1961,1521924.0372945205
1962,1522382.8194520548
1963,1522841.601609589
1964,1523300.3837671233
1965,1523759.1659246576
1966,1524217.9480821916
1967,1524676.730239726
1968,1525135.5123972602
1969,1525594.2945547944
1970,1526053.0767123287
1971,1524873.264280822
1972,1523693.451849315
1973,1522513.6394178083
1974,1521333.8269863015
1975,1520154.0145547944
1976,1518974.2021232876
1977,1517794.3896917808
1978,1516614.577260274
1979,1515434.7648287672
1980,1514254.9523972603
1981,1514393.0164726027
1982,1514531.0805479453
1983,1514669.1446232877
1984,1514807.20869863
1985,1514945.2727739727
1986,1515083.336849315
1987,1515221.4009246575
1988,1515359.4649999999
1989,1515497.5290753425
1990,1515635.5931506848
1991,1519787.6949999998
1992,1523939.796849315
1993,1528091.89869863
1994,1532244.0005479453
1995,1536396.1023972603
1996,1540548.2042465752
1997,1544700.3060958905
1998,1548852.4079452055
1999,1553004.5097945207
2000,1557156.6116438357
2001,1563887.14574364
2002,1570617.6798434444
2003,1577348.2139432486
2004,1584078.7480430529
2005,1590809.282142857
2006,1597539.8162426616
2007,1604270.3503424658
2008,1595217.196803653
2009,1586164.0432648403
2010,1577110.8897260274
2011,1575942.3696917808
2012,1574773.8496575342
2013,1573605.3296232878
2014,1572436.8095890412
2015,1572331.2261415524
2016,1572225.642694064
2017,1572120.0592465752
2018,1569590.9931506847
2019,1567061.9270547945
2020,1564532.860958904
